route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Fontainbleau & Rocky Pt Rd Sans Souci - Rockdale S,Rockdale-R'dale Plaza-Dolls Pt-Rockdale,Out,Regular,476,476-150,SBSC006,Transit Systems West,SBSC Contract 6,8.94,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",10807.48042861064
Gerroa to Kiama via Gerringong & Kiama High,Kiama to Gerroa via Kiama High & Gerringong,Out,School,S495,S495-2,S0310,Kiama Coaches,RRBSC S0310,12.93,kim@kiamacoaches.com.au,0418 425 770,02 4232 3466,(02) 4232 3466,"154 Shoalhaven Street, KIAMA, NSW, 2533",15764.114330711798
Macquarie Park to Chatswood,Macquarie Park to Chatswood,Out,Free Shuttle,99M,99M-1,OSMBSC004,Emergency Buses,OSMBSC Contract 4,6321.11,,,,,,7615.093103689179
Katoomba to Katoomba,Katoomba - North Katoomba,In,Regular,697,697-29,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,13.74,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",16563.504516325964
Trinity/Grange to Cranebrook HS,School Service,In,School,4123,4123-72017,GSBC001,Busways R1,GSBC Contract 1,7.95,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",9577.289047965447
Muswellbrook Schools to Denman via Wollombi Loop & Bimbadeen Dr,Denman to Muswellbrook Schools via Wollombi Loop & Bimbadeen Dr,Out,School,S844,S844-2,P0205,Reg Osborn,RRPBC P0205,37.97,melinda@osborns.com.au,0265431271,02 6543 1271,02 6543 1271 ,"53-55 Maitland St, MUSWELLBROOK, NSW, 2333",45013.928229685545
Oxley Hwy/Long Flat to Cameron/Young,Yarras Forbes River Rd - Wauchope,In,Regular,326,326-5,L0822,Busways,RRBSC L0822,29.52,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",34648.07911143788
Greenwell Point to East Nowra via Comerong Island,Greenwell Point to East Nowra via Comerong Island,In,School,S456,S456-1,C0253,Kennedy's Bus,RRPBC C0253,52.87,sales@kennedystours.com.au,0411 232101,4421 7596,,"7 Flinders Road, SOUTH NOWRA, NSW, 2541",64542.59906722144
Depot To Picton,Yanderra and Bargo to Picton via Tahmoor,In,Regular,911,911-4,P0203,Picton Buslines,RRPBC P0203,3.37,info@pictonbuslines.com.au,0407 417 936,02 4677 1564,,"18 Wonga Rd, PICTON, NSW, 2571",4090.329993151429
Quandialla to Quandialla Public via Bimbi,Quandialla to Quandialla Public via Bimbi,In,School,S216,S216-1,C0829,Wayne and Kath Holz Pty Ltd,RRPBC C0829,62.5,kmholz@bigpond.com,0466 800 394,02 6343 1625,02 6343 2857,"71 Manganese Road, GRENFELL, NSW, 2810",75506.9642162616
St Ives to Gordon Station,Gordon to St Ives Shopping Centre,In,Regular,582,582-168,GSBC014,CDC NSW R14,GSBC Contract 14,12.53,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",15099.622413469971
Penguin Bus - Ulladulla & Milton Schools to Ulladulla via Princes Hwy,Penguin Bus - Ulladulla & Milton Schools to Ulladulla via Princes Hwy,Out,School,S791,S791-2,S0318,Ulladulla Buslines,RRBSC S0318,33.81,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Rd, BURWOOD, NSW, 2134",41526.52287368445
Gosford Stn to Gosford Stn,Gosford & Nth Avoca via Terrigal,In,Regular,67,67-89,OMBSC006,Busways OMR6,OMBSC Contract 6,33.57,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",40293.08877218011
Blacktown Station to Norwest Stn,Castle Hill to Blacktown via Norwest & Glenwood,Out,Regular,730,730-34,GSBC001,Busways R1,GSBC Contract 1,11.44,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",13793.72370607818
"Sydenham Station - Sydenham Station, Burrows Av, S",Sydenham to Randwick Junction (Loop Service),In,Regular,358,358-6,SBSC006,Transit Systems West,SBSC Contract 6,19.63,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",23688.836694084494
Ladybug Bus - Kootingal to Tamworth PS via Hillvue,Ladybug Bus - Kootingal to Tamworth PS via Hillvue,In,School,S108,S108-1,M0812,Tamworth Buslines,RRBSC M0812,43.72,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",51170.46125682236
Windsor Stn to Windsor Stn,Windsor to Richmond via RAAF Base & Bligh Park (Loop Service),In,Regular,675A,675A-46,GSBC001,Busways R1,GSBC Contract 1,22.59,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",27176.729246914387
Bowral to Picton,Bowral to Picton,Out,Regular,828,828-8,M0306,Berrima Buslines,RRBSC M0306,48.16,info@buslinesgroup.com.au,0408682627,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",58477.16181621293
Coolamon to Matong & Ganmain Public via Deepwater Rd,Coolamon to Matong & Ganmain Public via Deepwater Rd,In,School,S420,S420-3,C0552,Chandler's Buses,RRPBC C0552,60.91,mchandler1959@gmail.com,0428273322,,,"70 ARDLETHAN ROAD, COOLAMON, NSW, 2701",74304.2022400507
Yamba PS to Maclean PS,School Service,Out,School,S756,S756-95081,L0816,Busways,RRBSC L0816,24.4,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",28001.73557889183
Grenfell Schools to Warraderry via Adelargo Rd,Warraderry to Grenfell Schools via Adelargo Rd,Out,School,S192,S192-2,C0331,GD & L Sinclair,RRPBC C0331,32.94,esrbuses@outlook.com.au,0421 557 738,0401468225,,,39769.74813427226
Jerrabomberra to Sts Peter and Paul PS,North Terrace - Telopea Park Sch,In,School,S180,S180-5,L0328,QCity Transit,RRBSC L0328,45.7,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",56112.22542535645
Matong & Ganmain Public to Coolamon via Deepwater Rd,Coolamon to Matong & Ganmain Public via Deepwater Rd,Out,School,S420,S420-5,C0552,Chandler's Buses,RRPBC C0552,22.98,mchandler1959@gmail.com,0428273322,,,"70 ARDLETHAN ROAD, COOLAMON, NSW, 2701",27978.845546496206
Seashell (Nautilus) Bus - Kandos Public to Glen Alice,Seashell (Nautilus) Bus - Kandos Public to Glen Alice,Out,School,S352,S352-2,S0695,Lithgow Buslines,RRBSC S0695,81.21,info@buslinesgroup.com.au,0407 417 936,,,"1 Burwood Road, BURWOOD, NSW, 1805",97010.8515835774
Wollongong - Avondale - Wollongong,Wollongong to Dapto,In,Regular,33,33-42,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,46.72,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",56772.78197176979
Caragabal to Caragabal Public via Mid Western Hwy,Caragabal to Caragabal Public via Mid Western Hwy,In,School,S870,S870-1,C0787,S A Hetherington Pty Ltd,RRPBC C0787,62.28,hethos1@bigpond.com,0427 720 199,02 69720199,(02) 6972 0199,"64 Bellarwi Road, WEST WYALONG, NSW, 2671",75124.9303318128
"Convair Ave to Lennox Head Public School, Byron St",Ballina - Lennox Head Primary School,In,School,S410,S410-2,M0794,CDCNSW,RRBSC M0794,90.04,info.northcoast@cdcbus.com.au / andrew.fogg@cdcbus,0413 498 237,02 6686 2144,02 6686 2144,"5 De Havilland Crescent, BALLINA, NSW, 2478",102743.94172011041
Prairiewood T-Way - To Parramatta - Western Sydney,WSU Penrith to Prairiewood,Out,Regular,835,835-27,GSBC003,Transit Systems NSW,GSBC Contract 3,31.69,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",38210.25302627184
Taree to Tinonee (Loop Service),Taree to Tinonee (Loop Service),Out,Regular,316,316-3,C0277,Tinonee Bus Company,RRPBC C0277,12.72,tibuco@bigpond.com.au,0438 208 204,,02 6551 0033 ,"4 Grey Gum Road, TAREE, NSW, 2430",15020.120389981126
Wagga Wagga Schools to Gundagai via Wantabadgery & Nangus,Gundagai to Wagga Wagga Schools via Nangus & Wantabadgery,Out,School,S249,S249-4,C0427,Makeham's Coaches,RRPBC C0427,98.71,annettemakeham@bigpond.com,0419 637 376,0269719255,0269447208,"27 Lake Albert Road, WAGGA WAGGA, NSW, 2650",120710.05461442457
Charlestown Square to Lake Haven Shops,LakeHaven/BlueHaven/Gwandalan/Swansea/Charlestown,In,Regular,99,99-363,OMBSC006,Busways OMR6,OMBSC Contract 6,79.24,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",94902.56473396755
Bega Schools to Hawks Head Rd and Brogo Warrigal Range Rd,Brogo Warrigal Range Rd and Hawks Head Rd to Bega Schools,Out,School,S372,S372-2,C0282,Bega Valley Coaches,RRPBC C0282,37.59,peter@begavalleycoaches.com.au,0409 449 856,,02 64925188,"21 Parrabel Street, BEGA, NSW, 2550",46832.512103126384
Orange to Bathurst,Orange to Bathurst,Out,Regular,530,530-3,M0305,Orange Buslines,RRBSC M0305,69.43,info@buslinesgroup.com.au,0407 885 636,,,"1 Burwood Rd, BURWOOD, NSW, 2134",83265.3096482266
Mobbs Lane Shops to Eastwood Station (West),Parramatta to Eastwood via Mobbs Lane,In,Regular,521,521-73,GSBC007,Busways North West,GSBC Contract 7,2.66,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",3200.421527611624
Menai Rd At Dandarbong Av to Westfield Miranda: Stand 3,Miranda to Barden Ridge,In,Regular,961,961-651,GSBC010,U-Go Mobility,GSBC Contract 10,20.37,Leanne.frederiksen@u-gomobility.com,0411018331,,,,24612.42175470661
Wollongong University - Oak Flats Station,Wollongong to Shellharbour,Out,Regular,53,53-12,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,40.27,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",48986.71247835056
"Campbelltown Stn, Std A - Lake Yandel'ora, Mount A",Campbelltown to Mount Annan via Currans Hill,Out,Regular,891,891-12,GSBC002,Transit Systems NSW SW,GSBC Contract 2,13.78,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",16662.330741749705
Endeavour High - Ramsgate & Rocky Pt Rds(Ramsgate),Endeavour HS - Ramsgate & Rocky Pt Rds,Out,School,734s,734s-7,SBSC006,Transit Systems West,SBSC Contract 6,5.77,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",6984.756936302668
Somersby PS to Gosford Stn,Spencer to Gosford via Kariong (CombinedRte32&34),In,Regular,32/4,32/4-31,OMBSC006,Busways OMR6,OMBSC Contract 6,21.23,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",25509.69010476828
Emu Plains to Nepean Square,Penrith - Leonay,In,Regular,689,689-111,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,14.91,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",17970.663466321537
Redfern (Regent & Redfern Sts) to Little Bay,Redfern  - Little Bay via Eastgardens,Out,Regular,392,392-271,GSBC009,Transdev John Holland Buses,GSBC Contract 9,14.75,daniela.fontana@transdevjohnholland.com.au,0488 745 279,02 7257 2488,,"Level 8, 469 La Trobe Street, MELBOURNE, VIC, 3000",17827.91924355352
Berambing Picnic Area to Kuyper Christian Sch,School Service,In,School,5120,5120-56006,GSBC001,Busways R1,GSBC Contract 1,44.68,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",53685.17741990581
Crookwell to Goulburn,Crookwell to Goulburn,In,Regular,818,818-3,C0279,PBC Goulburn,RRPBC C0279,47.41,info@pbcgoulburn.com.au,0400055579,,,"124 Maud Street, GOULBURN, NSW, 2580",57729.39170331414
Cow Bus - Tamworth Schools to Bithramere via Heiligmans Lane,Cow Bus - Bithramere to Tamworth Schools via Heiligmans Lane,Out,School,S201,S201-2,C0411,Hannafords Coaches,RRPBC C0411,53.64,megan@hannafordsbusservices.com.au,0428255510,,,"15 Stewart Avenue, TAMWORTH, NSW, 2340",62721.979782899965
Elephant Bus - Bowral Schools to Willow Vale,Elephant Bus - Bowral Schools to Willow Vale,Out,School,S861,S861-2,M0306,Berrima Buslines,RRBSC M0306,37.85,info@buslinesgroup.com.au,0408682627,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",45982.05259071166
Schofields PS to Guntawong/Tallawong,School Service,Out,School,6533,6533-80060,GSBC001,Busways R1,GSBC Contract 1,19.95,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",24035.229476121203
Castle Towers Shopping Centre to Blacktown Station,Castle Hill to Blacktown via Norwest & Glenwood,In,Regular,730,730-19,GSBC001,Busways R1,GSBC Contract 1,18.02,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",21723.33694523092
Dunoon Public & Whian Whian Public to Dorroughby via Corndale,Dorroughby to Whian Whian Public & Dunoon Public via Corndale,Out,School,S968,S968-2,C0605,G & N Bus Services,RRPBC C0605,47.89,gnbusservices@bigpond.com,0416 086 141,6684 4210,02 6684 4210 ,,54602.842116428255
Arizona/Chelmsford to Wyong Stn,Lake Haven & Wyong/Tugg viaHamlynTerrace&Watanobbi,Out,Regular,79,79-273,OMBSC006,Busways OMR6,OMBSC Contract 6,14.95,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",17912.58970503996
Kangaroo Bus - Goonellabah to East Lismore,Kangaroo Bus - Goonellabah to East Lismore,Out,School,S354,S354-2,M0814,Nthn Rivers Buslines,RRBSC M0814,11.16,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",12736.106615673732
Belgrave St (Medical Centre) to Belgrave St (Medical,Kempsey - Crescent Head,In,Regular,345,345-24,L0822,Busways,RRBSC L0822,44.14,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",51655.60281139472
Elk Bus - St Joseph's Primary to Ballina Public via Alstonville & Wollongbar,"Elk Bus - Emmanuel Anglican to Ballina via Alstonville, Wollongbar & Lennox Head",In,School,S515,S515-1,M0823,Ballina Buslines,RRBSC M0823,62.82,info@buslinesgroup.com.au,02 9747 7000,,,"1 Burwood Rd, BURWOOD, NSW, 2134",71669.94990251742
Power/Kilto to Blacktown Station,Mt Druitt to Blacktown via Plumpton & Woodcroft,In,Regular,756,756-193,GSBC001,Busways R1,GSBC Contract 1,8.24,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",9929.995712270033
Blacktown Station to Mt Druitt Station,Blacktown - Mt Druitt,Out,Regular,728,728-57,GSBC001,Busways R1,GSBC Contract 1,17.85,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",21514.247153031425
The Ruins Wy Bus Shelter to Newman College,School Service,In,School,S456,S456-2126,L0822,Busways,RRBSC L0822,19.52,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",22918.688272664087
Lismore to Goonellabah,Lismore to Goonellabah,Out,Regular,685,685-2,M0814,Nthn Rivers Buslines,RRBSC M0814,8.92,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Road, BURWOOD, NSW, 2134",10172.913257353857
Kooringal to Uranquinty,Kooringal to Uranquinty,In,School,S189,S189-1,L0326,Busabout Wagga,RRBSC L0326,19.98,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",24470.711855969694
Mt Druitt Station to Blacktown Station,Mt Druitt to Blacktown via Plumpton & Woodcroft,In,Regular,756,756-231,GSBC001,Busways R1,GSBC Contract 1,17.45,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",21031.038905005564
Old Bar Public to Wallabi Point via Kolinda Dr,Wallabi Point to Old Bar Public via Kolinda Dr,Out,School,S784,S784-3,P0200,Eggins Coaches,RRPBC P0200,19.91,info@egginscomfortcoaches.com.au,0427 522 702,0265 522700,02 6552 2700 ,"2 Elizabeth Avenue, TAREE, NSW, 2430",23526.184711766102
Bellbrook Bus Shelter to Belgrave St (Medical,Kempsey - Bellbrook,In,Regular,355,355-57,L0822,Busways,RRBSC L0822,51.47,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",60113.975552032935
James Ruse Agricultural HS to Epping Station - Beecroft Rd,School Service,Out,School,719w,719w-2,GSBC007,Busways North West,GSBC Contract 7,5.34,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6427.405197190763
Bus 2 - Junee Belmore St to Junee Schools,Bus 2 - Junee Belmore St to Junee Schools,In,School,S222,S222-4,C0416,Junee Buses,RRPBC C0416,11.91,david@juneebuses.com.au,0438 943 183,,02 6924 2244,"218 Main Street, JUNEE, NSW, 2663",14547.679423479753
Unanderra - Illawarra Sports HS,Tresnan Ave af Blackman Pde to Illawarra Sports HS ,In,School,S132,S132-1,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,11.01,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",13367.450466499802
Curringa/Arunta to St Edwards/St Joseph,School Service,In,School,2074,2074-39090,OMBSC006,Busways OMR6,OMBSC Contract 6,11.54,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",13855.138788467673
10X Charlestown to Newcastle Int Express,Charlestown - Newcastle Express,In,Regular,10X,10X-10,NISC001,Newcastle Transport,NISC Bus,10.12,contact@newcastletransport.info,0402 027 065,02 4974 1651 ,,"89 Denison Street, HAMILTON, NSW, 2303",12082.998478877465
Werrington Stn to Penrith Stn,Penrith to Werrington via Jordan Springs,In,Regular,783,783-35,GSBC001,Busways R1,GSBC Contract 1,17.96,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",21650.003920018844
"Carnes Hill Mktplc, Kurrajong Rd - Commissioners D",Carnes Hill to Denham Court via Austral,Out,Regular,861,861-78,GSBC002,Transit Systems NSW SW,GSBC Contract 2,20.78,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",25098.289728579395
Wellbank St & Concord Rd Nth Strath. - Marist Sist,Concord Hospital to Marist Sisters Woolwich,In,School,581w,581w-6,SBSC006,Transit Systems West,SBSC Contract 6,12.56,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",15153.167040069866
Cootamundra to Cootamundra Schools via Stockinbingal,Cootamundra to Cootamundra Schools via Stockinbingal,In,School,S650,S650-1,C0658,Jan - Joh Bus Service,RRPBC C0658,37.58,joshjc17@gmail.com,0429424421,,,"10 Bradman Street, COOTAMUNDRA, NSW, 2590",45718.98979975383
Patrician Brothers College to Flushcombe/Myrtle,School Service,Out,School,6594,6594-60127,GSBC001,Busways R1,GSBC Contract 1,5.08,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6129.150069741096
Turramurra Station to Turramurra Station,Turramurra to Sth Turramurra (Loop),In,Regular,571,571-34,GSBC014,CDC NSW R14,GSBC Contract 14,11.12,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",13410.283421022164
Table Top & Lara Lakes to Albury Schools via Tynan Rd,Table Top & Lara Lakes to Albury Schools via Tynan Rd,Out,School,S857,S857-4,C0714,Martins Albury,RRPBC C0714,39.16,david@martinsalbury.com.au,0408 216 745,02 6040 4400,,"66 Fallon Street, ALBURY, NSW, 2640",48460.61746239109
Yeramba/Summerland to Lake Munmorah PS,School Service,In,School,2204,2204-17049,OMBSC006,Busways OMR6,OMBSC Contract 6,15.87,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",19005.533275467034
Robert Street Rozelle - Balmain East Wharf - Darli,Balmain East Wharf - QVB LOOP,In,Regular,442,442-30,SBSC006,Transit Systems West,SBSC Contract 6,2.91,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",3509.9066395954474
"Guildford Stn, Military Rd - McCredie Rd At Charle",Smithfield Industrial Are or Woodpark to Fairfield,Out,Regular,821,821-8,GSBC003,Transit Systems NSW,GSBC Contract 3,2.33,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",2807.249263979851
Gosford Stn to Gosford Stn,Gosford & Copa then Avoca via GreenPt & Kincumber,In,Regular,66A,66A-11,OMBSC006,Busways OMR6,OMBSC Contract 6,52.14,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",62607.508894486105
Eighth St and Deakin Ave to Gol Gol Post Office,Mildura to Gol Gol via Buronga,Out,Regular,953,953-3,V0298,CDC Mildura,RRBSC V0298,8.65,cdcmildura@cdcbus.com.au,0413 958 057,0408037448,03 50230274,"8-10 Bathurst Court, MILDURA, VIC, 3500",10468.36667322715
Trebbiano Dr to St Philip's CC,Trebbiano Dr to St Philip's CC,In,School,S915,S915-1,OSMBSC001,Rover Motors,OSMBSC Contract 1,8.75,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",10437.96033459859
